colsample_bytree,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,reg_alpha,reg_lambda,scale_pos_weight,subsample,loss,tid
0.798909711747064,0.026450545842196818,0.3275217842160236,4.898907441365677,4.0,0.4502005113425804,7.7821105954677705,3.333830348874381,3.9954562002216876,0.9781775390722606,-0.8743779719119761,0
0.7850342943458791,15279.511271835647,0.33703934791674794,3.691281107293553,3.0,0.9810264789794435,1.1258325702343053,1.482014888058762,2.8563708934746366,0.963566880041596,-0.8830034280659074,1
0.8114471586724177,82.75609146074956,0.21434907051694765,8.805868061085974,6.0,3.8013283396945847,8.51785964429446,9.444882421964143,3.355658417615559,0.9347273312819087,-0.8828928452947031,2
0.9270123724671386,5.196186796052098e-05,0.16527955616183612,9.579726268876458,5.0,5.740172947023212,6.06195446067551,2.3716981688164926,3.3627456568453202,0.7693724370381878,-0.8794647793873714,3
0.7714500386748122,0.006430897897845405,0.12528105494261293,9.675095723581798,3.0,5.871424790864658,3.051340267884497,9.433255151486094,7.38343843229042,0.9017395952613141,-0.8039367466548711,4
0.8011349991812649,2901.0253330993373,0.5333712333383646,2.7956877587013538,4.0,6.074015363881698,6.522204244546666,7.326742368234922,3.1059664027464318,0.9864127481262155,-0.893177043016698,5
0.7035713901696664,630.390962469807,0.1477351593088551,9.825248435743749,6.0,0.873197887284226,0.585607439644511,8.82582090771402,1.2925535661796397,0.9052634895342946,-0.8830034280659074,6
0.5221049020050446,4.462088741617873,0.0011163547658134536,3.540201229481325,6.0,1.3073873340547282,6.6847202757732,3.017615713042577,9.6650639129346,0.8729605921084074,-0.661616720115006,7
0.5499832970081941,12808.313731647184,0.0368845790249337,1.7966067262778875,4.0,6.959942813364192,4.411114318974704,9.940209273229247,3.0648989360799206,0.7365532921834562,-0.8830034280659074,8
0.9442551899299536,1.9011202130409952,0.04412964766549969,4.974068995072857,4.0,6.4202691310350275,7.12827406028887,3.8517492208340056,1.6955097074764738,0.7825242813057944,-0.8938405396439235,9
0.8873876658800943,0.26344690725770453,0.0011942048431487398,1.6566571958133576,3.0,0.9767461056037507,0.35467945390283195,6.6382277833681025,2.929801049495532,0.7089020807794785,-0.8908548048214088,10
0.9585537414668635,14467.61912048546,0.04476978443044327,9.226768883253714,8.0,0.1618378050790427,4.40475261412142,1.5738797653341847,1.074368335279778,0.9749428908252266,-0.8830034280659074,11
0.8205355360699937,0.04085481232519868,0.012338354004533238,1.9405710571112862,3.0,0.5884639358657001,4.510033818637741,2.8919553730951524,4.614632144134168,0.9149841705514775,-0.8852150834899922,12
0.8992568320759593,0.02472524322242806,0.008509167408682294,4.712017570687746,5.0,13.375444273402193,7.74742199262108,2.9258764435807496,6.122921693494271,0.9101172446477956,-0.8448523720004424,13
